Date,Open,High,Low,Close,Adj Close,Volume
2011-09-04,202.199997,209.000000,194.600006,200.449997,184.313095,38875783
2011-09-11,196.800003,213.550003,194.649994,209.250000,192.404678,28530363
2011-09-18,207.050003,215.500000,191.050003,197.500000,181.600586,26300966
2011-09-25,197.500000,225.800003,192.000000,218.899994,201.277832,40953135
2011-10-02,214.000000,220.750000,196.500000,218.100006,200.542252,23575359
2011-10-09,214.600006,242.699997,214.300003,231.600006,212.955460,42213118
2011-10-16,232.000000,240.250000,222.300003,224.899994,206.794815,24555724
2011-10-23,228.899994,251.000000,224.500000,248.800003,228.770798,17911598
2011-10-30,246.899994,251.350006,232.000000,247.600006,227.667389,23291134
2011-11-06,247.000000,249.550003,224.300003,227.500000,209.185486,16456142
2011-11-13,232.699997,234.449997,197.100006,204.149994,187.715271,35851772
2011-11-20,202.399994,211.199997,190.649994,203.699997,187.301468,34551713
2011-11-27,207.899994,224.899994,198.750000,223.449997,205.461533,29892059
2011-12-04,224.000000,227.300003,208.600006,213.850006,196.634384,19575595
2011-12-11,217.000000,218.000000,192.699997,194.949997,179.255890,28655238
2011-12-18,193.699997,201.800003,183.850006,193.949997,178.336380,32944974
2011-12-25,194.050003,198.750000,181.550003,183.100006,168.359863,25185331
2012-01-01,184.699997,192.500000,172.800003,174.550003,160.498154,44036850
2012-01-08,176.899994,200.850006,173.850006,196.600006,180.773056,93721018
2012-01-15,194.050003,217.000000,191.300003,214.000000,196.772293,48024891
2012-01-22,214.050003,224.500000,210.800003,211.600006,194.565506,35668248
2012-01-29,210.600006,231.899994,204.199997,230.850006,212.265823,45547558
2012-02-05,233.500000,240.699997,224.000000,230.899994,212.311798,44240559
2012-02-12,226.300003,259.850006,218.500000,253.899994,233.460205,42893022
2012-02-19,253.899994,261.200012,225.000000,226.800003,208.541855,33360682
2012-02-26,227.250000,232.699997,197.149994,203.850006,187.439392,69908764
2012-03-04,203.000000,214.050003,186.500000,204.050003,187.623306,50466492
2012-03-11,207.100006,212.300003,193.500000,196.300003,180.497208,43284537
2012-03-18,196.000000,205.699997,190.800003,196.250000,180.451233,36068994
2012-03-25,195.850006,203.500000,188.500000,201.750000,185.508453,32870755
2012-04-01,201.500000,211.000000,200.000000,204.399994,187.945129,15457598
2012-04-08,201.800003,207.699997,196.300003,197.899994,181.968399,24507172
2012-04-15,196.149994,207.699997,195.300003,197.250000,181.370728,27322018
2012-04-22,195.000000,196.300003,174.850006,181.500000,166.888641,31162468
2012-04-29,181.100006,193.899994,178.500000,182.500000,167.808151,23161495
2012-05-06,179.000000,196.449997,177.000000,187.300003,172.221725,30854593
2012-05-13,188.800003,189.699997,179.750000,185.850006,170.888489,23930812
2012-05-20,188.199997,193.399994,181.000000,188.399994,173.233185,17640309
2012-05-27,189.000000,190.949997,177.800003,182.600006,167.900101,20461020
2012-06-03,180.399994,197.250000,169.750000,196.399994,180.589157,33460804
2012-06-10,197.500000,199.800003,190.550003,196.850006,181.002945,22155292
2012-06-17,198.149994,201.250000,183.550003,193.649994,178.060516,32190466
2012-06-24,195.949997,200.000000,188.850006,198.550003,182.566086,18497371
2012-07-01,199.949997,218.300003,198.000000,211.350006,194.335632,30844974
2012-07-08,210.750000,215.750000,206.199997,208.149994,191.393219,24658704
2012-07-15,209.649994,210.399994,200.100006,204.649994,188.175003,19208195
2012-07-22,202.000000,205.399994,192.600006,194.000000,178.382355,20141072
2012-07-29,195.500000,210.949997,194.100006,207.449997,190.749588,23372569
2012-08-05,209.000000,220.000000,207.800003,210.350006,193.416168,27905338
2012-08-12,210.850006,219.399994,206.850006,209.000000,192.174835,17690707
2012-08-19,209.000000,217.850006,207.100006,207.699997,190.979462,16328819
2012-08-26,207.000000,208.250000,188.149994,195.050003,181.038208,32955647
2012-09-02,196.000000,204.000000,191.649994,203.449997,188.834763,21247086
2012-09-09,204.000000,218.000000,197.800003,216.600006,201.040115,20978429
2012-09-16,220.000000,239.399994,219.100006,235.250000,218.350357,37119986
2012-09-23,233.899994,244.699997,230.750000,233.250000,216.494019,39097194
2012-09-30,235.000000,244.949997,225.899994,241.899994,224.522629,37837872
2012-10-07,237.000000,237.000000,211.850006,218.750000,203.035660,63348210
2012-10-14,218.000000,220.899994,199.699997,206.100006,191.294388,52225016
2012-10-21,204.000000,209.250000,201.300003,204.649994,189.948547,15001383
2012-10-28,201.149994,208.100006,195.500000,205.399994,190.644669,20436270
2012-11-04,204.949997,217.399994,201.550003,211.149994,195.981613,23844379
2012-11-11,211.000000,213.149994,199.500000,203.600006,188.973999,18058273
2012-11-18,203.699997,207.199997,196.899994,200.699997,186.282333,26433109
2012-11-25,201.300003,212.000000,199.199997,209.800003,194.728607,22923623
2012-12-02,212.050003,229.000000,209.250000,220.199997,204.381516,52395869
2012-12-09,221.899994,225.300003,213.350006,217.350006,201.736252,30240531
2012-12-16,218.000000,228.399994,215.500000,219.449997,203.685379,40264393
2012-12-23,220.899994,227.000000,219.750000,224.899994,208.743851,17633032
2012-12-30,225.100006,240.699997,225.000000,237.750000,220.670761,27566394
2013-01-06,236.500000,239.600006,229.600006,230.449997,213.895187,16723280
2013-01-13,231.600006,263.750000,230.449997,262.700012,243.828445,45838562
2013-01-20,260.000000,261.899994,244.649994,259.750000,241.090347,37832688
2013-01-27,261.950012,279.399994,260.799988,267.899994,248.654877,60213391
2013-02-03,268.899994,277.700012,265.950012,268.799988,249.490234,41497023
2013-02-10,269.149994,273.750000,242.449997,248.699997,230.834152,32691251
2013-02-17,251.050003,283.500000,251.050003,281.450012,261.231476,64794864
2013-02-24,282.850006,287.450012,258.200012,259.350006,240.719086,58588531
2013-03-03,259.049988,282.450012,248.550003,278.149994,258.168488,54520904
2013-03-10,279.000000,289.250000,271.500000,272.500000,252.924438,43521567
2013-03-17,270.000000,273.899994,227.500000,230.949997,214.359253,49669598
2013-03-24,236.399994,246.899994,227.899994,234.699997,217.839874,34875510
2013-03-31,238.000000,258.350006,230.000000,232.800003,216.076355,51823068
2013-04-07,234.199997,249.600006,228.449997,247.399994,229.627502,41700060
2013-04-14,243.000000,251.800003,239.300003,248.399994,230.555695,28201749
2013-04-21,249.699997,253.350006,236.300003,237.850006,220.763580,27386197
2013-04-28,238.899994,245.199997,230.050003,231.500000,214.869751,26098248
2013-05-05,230.699997,243.500000,229.100006,237.300003,220.253082,32469584
2013-05-12,233.850006,250.800003,228.350006,249.649994,231.715881,35701197
2013-05-19,251.000000,255.000000,205.600006,211.899994,196.677765,55007105
2013-05-26,213.000000,216.899994,193.100006,194.699997,180.713333,52964916
2013-06-02,193.750000,205.449997,188.800003,198.500000,184.240372,57671122
2013-06-09,200.899994,202.649994,184.000000,189.800003,176.165329,39068512
2013-06-16,191.949997,193.350006,170.050003,175.149994,162.567764,43456452
2013-06-23,173.300003,182.500000,161.199997,181.250000,168.229538,45548448
2013-06-30,180.000000,189.850006,173.199997,177.649994,164.888123,29111609
2013-07-07,174.000000,180.199997,171.100006,177.000000,164.284851,21562654
2013-07-14,175.350006,180.500000,162.100006,168.300003,156.209839,42066672
2013-07-21,168.100006,179.550003,165.399994,172.350006,159.968918,35154072
2013-07-28,169.000000,172.000000,125.500000,128.449997,119.222534,49760975
2013-08-04,129.000000,139.699997,120.050003,138.199997,129.806488,43333847
2013-08-11,137.000000,160.300003,133.649994,145.449997,136.616150,43798820
2013-08-18,143.750000,162.899994,135.149994,136.949997,128.632401,56887698
2013-08-25,138.000000,141.000000,122.099998,129.800003,121.916664,50427880
2013-09-01,130.649994,141.550003,121.000000,137.899994,129.524704,53758696
2013-09-08,137.899994,157.500000,137.899994,156.850006,147.323792,40491784
2013-09-15,160.000000,173.899994,149.000000,151.500000,142.298721,49242148
2013-09-22,148.000000,149.399994,131.250000,131.850006,123.842148,57527999
2013-09-29,131.000000,142.649994,127.150002,139.300003,130.839676,50165736
2013-10-06,138.800003,156.899994,135.250000,154.699997,145.304352,54671882
2013-10-13,154.649994,159.899994,150.800003,157.300003,147.746445,30467052
2013-10-20,160.000000,167.399994,151.000000,151.449997,142.251740,40404162
2013-10-27,153.199997,159.350006,142.750000,157.399994,147.840378,47869595
2013-11-03,157.399994,164.350006,146.250000,152.600006,143.331909,36550068
2013-11-10,152.649994,152.649994,139.399994,145.300003,136.475266,27770069
2013-11-17,148.250000,155.699997,143.000000,144.300003,135.536026,37116800
2013-11-24,146.399994,153.800003,146.050003,152.100006,142.862274,27905985
2013-12-01,153.000000,158.899994,150.800003,155.750000,146.290588,31619531
2013-12-08,160.000000,166.199997,150.300003,150.899994,141.735138,36598732
2013-12-15,150.800003,163.699997,149.500000,162.899994,153.006332,30102571
2013-12-22,163.550003,175.199997,163.100006,171.399994,160.990082,31082376
2013-12-29,172.000000,174.649994,163.350006,168.899994,158.641937,33200897
2014-01-05,169.000000,169.750000,155.949997,156.500000,146.995041,26814526
2014-01-12,157.800003,164.199997,154.350006,155.350006,145.914902,26327031
2014-01-19,155.000000,159.899994,152.350006,153.050003,143.754593,22950855
2014-01-26,149.449997,150.000000,133.750000,137.500000,129.149002,32365398
2014-02-02,136.199997,139.899994,130.250000,137.949997,129.571655,32793885
2014-02-09,143.300003,146.000000,138.699997,145.000000,136.193481,31870382
2014-02-16,145.500000,147.899994,140.149994,142.399994,133.751404,25506692
2014-02-23,142.500000,144.500000,138.250000,141.149994,132.577332,14835462
2014-03-02,140.800003,167.949997,136.300003,166.899994,156.763412,37548320
2014-03-09,165.000000,186.699997,162.449997,174.949997,164.324493,68584194
2014-03-16,174.949997,179.000000,166.199997,171.100006,160.708328,33544876
2014-03-23,171.000000,181.449997,170.000000,175.850006,165.169846,44301886
2014-03-30,177.000000,179.000000,169.199997,176.050003,165.357681,57255549
2014-04-06,176.500000,185.000000,168.050003,176.300003,165.592499,62716881
2014-04-13,176.300003,177.699997,155.850006,159.649994,149.953705,36746065
2014-04-20,160.500000,160.899994,151.350006,153.600006,144.271179,46858917
2014-04-27,152.100006,156.850006,138.100006,139.800003,131.309311,59165576
2014-05-04,139.800003,145.899994,137.600006,144.750000,135.958679,50714558
2014-05-11,144.600006,179.699997,143.149994,169.699997,159.393341,76578693
2014-05-18,174.000000,222.350006,172.500000,217.149994,203.961487,116973614
2014-05-25,219.899994,224.800003,195.100006,210.100006,197.339676,70663612
2014-06-01,211.199997,234.300003,206.600006,233.149994,218.989746,80008705
2014-06-08,235.750000,242.949997,203.100006,204.899994,192.455490,59765467
2014-06-15,204.899994,216.550003,198.899994,208.350006,195.695938,52414424
2014-06-22,208.600006,221.449997,205.100006,211.050003,198.231979,44460223
2014-06-29,212.449997,222.300003,212.000000,218.600006,205.323425,33736574
2014-07-06,217.399994,233.800003,199.600006,209.350006,196.635254,66400825
2014-07-13,210.500000,228.899994,204.600006,221.000000,207.577682,48541557
2014-07-20,221.850006,222.800003,201.649994,204.750000,192.314606,33581026
2014-07-27,204.300003,205.800003,190.100006,200.750000,188.557541,58778692
2014-08-03,202.350006,208.000000,193.199997,194.100006,182.311447,48539619
2014-08-10,200.500000,202.899994,190.500000,196.199997,184.283875,28942073
2014-08-17,194.449997,203.149994,193.100006,194.750000,182.921951,31794838
2014-08-24,194.699997,196.449997,176.000000,177.300003,168.229767,37768660
2014-08-31,178.000000,186.899994,156.199997,175.449997,166.474411,64977908
2014-09-07,176.500000,179.100006,170.100006,176.149994,167.138611,30457118
2014-09-14,174.000000,177.949997,166.100006,171.949997,163.153458,26826646
2014-09-21,170.100006,173.300003,153.649994,162.550003,154.234360,51349645
2014-09-28,161.949997,164.300003,147.600006,150.399994,142.705902,20707149
2014-10-05,150.399994,155.899994,140.149994,152.649994,144.840805,44326179
2014-10-12,151.750000,151.750000,100.099998,110.599998,104.941978,198213861
