"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2017","230.10","231.85","234.00","228.20","7.97M","-1.41%"
"Nov 27, 2017","233.40","228.70","234.60","227.05","17.68M","2.10%"
"Nov 24, 2017","228.60","224.70","229.65","221.35","10.08M","2.63%"
"Nov 23, 2017","222.75","220.10","225.00","218.40","9.07M","1.32%"
"Nov 22, 2017","219.85","224.00","224.90","218.70","7.18M","-1.15%"
"Nov 21, 2017","222.40","227.30","228.00","220.25","7.71M","-2.31%"
"Nov 20, 2017","227.65","223.55","229.80","222.75","19.16M","1.70%"
"Nov 17, 2017","223.85","215.30","225.85","211.20","23.98M","7.26%"
"Nov 16, 2017","208.70","204.80","210.20","201.60","7.71M","2.50%"
"Nov 15, 2017","203.60","205.95","209.30","200.60","6.49M","-1.19%"
"Nov 14, 2017","206.05","202.00","207.75","201.00","7.95M","1.85%"
"Nov 13, 2017","202.30","200.25","207.70","194.15","26.43M","-2.69%"
"Nov 10, 2017","207.90","211.20","211.80","205.10","6.49M","-1.86%"
"Nov 09, 2017","211.85","215.70","217.50","209.25","5.94M","-0.94%"
"Nov 08, 2017","213.85","208.00","215.00","208.00","10.14M","2.47%"
"Nov 07, 2017","208.70","216.50","216.95","207.00","7.32M","-3.29%"
"Nov 06, 2017","215.80","216.85","217.80","213.10","8.43M","0.89%"
"Nov 03, 2017","213.90","209.00","216.20","209.00","13.76M","2.91%"
"Nov 02, 2017","207.85","208.10","209.45","205.00","8.50M","-0.38%"
"Nov 01, 2017","208.65","203.00","211.75","201.00","26.34M","3.63%"
"Oct 31, 2017","201.35","187.50","202.70","186.40","24.26M","7.16%"
"Oct 30, 2017","187.90","185.30","189.70","184.00","6.27M","1.93%"
"Oct 27, 2017","184.35","183.50","187.50","182.05","7.73M","1.26%"
"Oct 26, 2017","182.05","180.60","184.35","180.15","9.73M","0.14%"
"Oct 25, 2017","181.80","182.00","183.00","176.70","6.07M","1.99%"
"Oct 24, 2017","178.25","179.50","182.25","177.55","5.12M","-0.53%"
"Oct 23, 2017","179.20","175.90","180.40","174.35","7.04M","2.25%"
